X,y
rt  minhealthnz  we can confirm there are two new cases of covid19 in new zealand today both linked to recent travel from the uk  there w ,real
how right wing extremists  libertarians and evangelicals built quebec s movement against covid 19 restrictions   cbc news ,fake
health secretary matt hancock has announced  500 isolation support payments for people on low incomes who have to self isolate  get the latest coronavirus news here   ,real
demonstrators protesting against masks vaccines and coronavirus lockdown measures have clashed with police in central london  for the latest on covid19 visit  backhand index pointing right   ,real
novel coronavirus affects only elderly  not young people,fake
france forces patients of dual nationality to leave its hospitals to be able to treat the french during the covid 19 outbreak ,fake
doctors should pay particular attention to patients with endocrine disorders and diabetes who develop covid 19 endocrinologists said  ,real
our daily update is published  new records for cases and a top 5 day for tests  patients currently hospitalized jumped to over 43000 about the levels of mid may  states reported more than 800 new deaths  the 7 day average is creeping back up  ,real
clinicians took a huge financial hit from covid   ,real
equitable global access to tests treatments and vaccines is key to ending covid19 fairly effectively and efficiently  because if one of us is at risk we are all at risk  we are only safe when everybody is safe  ,real
image of patients lying on rope beds out in the open in a covid 19 isolation ward in pakistan ,fake
a positive test of such rapid antigen test should be considered as a true positive whereas all symptomatic individuals testing negative through the rapid antigen test should be confirmed with a real time pcr test to rule out infection   2 3 ,real
for its must read coronavirus coverage the atlantic is rewarded with a huge surge of digital subscriptions  ,fake
works at the luque cemetery near paraguayan capital asunci n are related to people who died from covid 19 ,fake
trump s explanation for rising counts of coronavirus cases is that we re testing more people  testing has increased nationally but so has the positivity rate  if trump was right the positivity rate would be decreasing or at least staying the same   ,fake
did you host or attend a labor day gathering or event  if you were in close contact with others you may have been exposed to covid19  if you feel sick stay home call your healthcare provider and inform those you had close contact with   ,real
the covid racial data tracker lets you break down the numbers by race and ethnicity which is crucial for understanding what s happening with the pandemic in the us  ,real
anthony fauci knew about the new coronavirus from 2017 and journalists exhibit mannequins as covid 19 patients to deceive the public according to an interview with a man named rashid buttar ,fake
indian nurses resigned due to covid 19 infected jamati patients misbehavior ,fake
indian prime minister modi announced an internet ban due to the spread of misinformation regarding covid 19 ,fake
could you or a loved one be at increased risk for covid 19  underlying medical conditions and lack of access to quality healthcare are more common among some racial and ethnic groups  these factors can lead to more severe covid 19 illness  learn more   ,real
the pandemic that first struck in major metropolises is now increasingly finding its front line in the country s rural areas  counties with acres of farmland cramped meatpacking plants out of the way prisons and few hospital beds  ,real
india fights corona  the trend of very high number of single day recoveries has sustained for the past four consecutive days  this kind of successive increase in recoveries over new cases has not been seen in the country since may 2020  secretary  mohfw india  icmrdelhi ,real
new  cdcmmwr  contact tracing in 2 nc counties finds many people with covid19 didn t report contacts and many contacts reported couldn t be reached  in one county a third of people didn t report contacts  amp  half the contacts reported couldn t be reached   ,real
 cmsgov  amp   cdcgov announce that reimbursement is available to physicians  amp  health care providers to counsel patients at the time of covid19 testing about the importance of self isolation while awaiting the test results   ,real
the number of recovered cases remains at 1482  there are no additional deaths to report   there is no one in new zealand receiving hospital level care for covid 19   yesterday our laboratories completed 3603 tests bringing the total completed to date to 316251 ,real
the uk has reported 4368 new covid 19 cases   up from 3899 on sunday  read the latest here   ,real
new  cdcmmwr highlights first cases of covid 19 in u s  household pets which occurred in two pet cats in ny  although covid19 can occasionally spread from people to animals there is no evidence that animals play a significant role in spreading covid 19   ,real
note  a previous tweet stated a facebook post about victorian coronavirus numbers was posted by one nation leader pauline hanson  it was in fact posted by the victorian branch of pauline hanson s one nation party ,fake
3 additional labs have been activated for inclusion in the ncdc molecular lab network in the following states  check mark button ibadan  check mark button akwa ibom  check mark button jigawa this brings the total number of labs with capacity to test for covid19 in nigeria to 33 in progress  kwara gombe ekiti ondo  amp  abia ,real
we are grateful for additional medical supplies including personal protective equipment provided by  undp and  ceccgov to support covid19 response activities in nigeria one of the key strategies of nigeria s response is to ensure frontline health workers are protected ,real
as of this morning we have identified 28 close contacts of the tokoroa health professional currently in the hospital for covid 19  16 of those have already been contacted  we expect to contact the remainder today ,real
a whatsapp forward claims that the covid 19 vaccine is ready  was announced by u s  president donald trump  and will be launched next sunday  it also claims that the vaccine discovered by the u s  scientists can cure a covid 19 infected patient within 3 hours  with the whatsapp forward  the alleged image of the vaccine is also being shared ,fake
chlorine dioxide has already proved efficacious as a mouthwash to decreases the load of the covid 19 virus  bolivia has used it as a safe and effective treatment to eradicate the virus   icmrdelhi  csir ind please can we do a clinical trial in india  ,fake
rinsing the mouth with salt water help with coronavirus ,fake
 the state of florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of covid 19 coronavirus starting on march 6  2020  all schools are to close for 2 weeks also from march 6th ,fake
social gatherings of more than six people are now illegal in england as the coronavirus  rule of six  comes into force ,real
study s universal testing for children identified 41  of patients with covid19 who would have been missed  ,real
trump s top coronavirus medical recommendations  donald trump fda prescriptions disinfectant easy off fe breeze,fake
the recommended duration of quarantine for covid19 cases is up to 14 days from the time of exposure  kindly refer to the following documents for details    amp   co vid 19 co vid co vid 19 co vid 19 covid19 india corona coronavirus ,real
india fights corona  the number of recovered patients has outpaced the active cases  704348  by more than17 lakh  the recovered patients are3 41 times the active cases as on date  details     mohfw india  drharshvardhan  icmrdelhi stay safe,real
cia arrested china scientist for creating corona virus  us leading firm have filed suit against china for creating  amp  spreading deadly corona virus targeting to kill mass population all over the planet backhand index pointing up  ,fake
politically correct woman  almost  uses pandemic as excuse not to reuse plastic bag  coronavirus nashville,fake
south sudan s president and senior ministers have appeared in public in recent weeks wearing so called  virus removal cards  clip on tags marketed as prevention against infectious diseases  afp fact check found the items for sale online in various countries including lebanon malaysia and the philippines ,fake
bill gates said that the catholic religion may have to be suspended forever because of the covid 19 pandemic ,fake
a voice note says that the government will apply a total lockdown for two months ,fake
india fights corona ramped up hospital infrastructure  amp  emphasis on efficient treatment of hospitalized patients through the standard of care protocol advised by the centre have effectively ensured improvement in the recovery rate  ,real
breathing steam from boiling citrus peels prevents and cures coronavirus ,fake
news  new mary trump book claims donald trump orders interns to take his daily covid 19 tests  ,fake
 as of the last 24 hours this is the protocol regarding masks masks should only be used by healthcare workers  caretakers or by people who are sick with symptoms like fever and cough ,fake
coronavirus  a theatre and two hotels are to be converted into temporary courts to help clear a backlog of cases due to the pandemic ,real
some coronavirus patients are experiencing chronic fatigue   ,real
local woman informs kids that mother s day is going ahead despite coronavirus,fake
local resident admits  2020 s new year s resolution to start saving leftover ketchup packets from bu   coronavirus,fake
parcels from china can spread covid 19,fake
older adults appear to be twice as likely to have serious covid19 illness  take everyday precautions to reduce your risk of exposure   avoid close contact with people who are sick  wash your hands often  avoid touching your face nose  amp  eyes  ,real
 loudspeaker coronavirus updates   round pushpin covid19 india tracker  as on 16 september 2020 08 00 am   right arrow confirmed cases  5020359  right arrow recovered  3942360  78 5 thumbs up   right arrow active cases  995933  19 8   right arrow deaths  82066  1 6  india fights corona india will win stay safe via  mohfw india ,real
death of a young sri lankan nurse living in adelaide australia was due to covid 19 ,fake
hcps  attend the next coca call tuesday sept  15 at 2pm et via zoom  topic  telehealth  amp  health equity  considerations for addressing health disparities during the covid 19 pandemic  learn more   covid19 ,real
the atheist italian doctor julian urban and his colleagues have converted to christianity in the wake of the covid 19 crisis ,fake
one person has been stabbed during a protest against the government in the neighbourhood of moratalaz in madrid ,fake
in 2012  a team of dutch scientists identified and froze 51 antibodies that worked against sars  one of them has been shown to be able to neutralize the virus that causes covid 19  ,fake
this makes it difficult to compare hospitalization rates across states  which is yet another reason that summary statistics of hospitalization data is something that should not be attempted without extreme care and understanding of the caveats  see  ,real
leicester wants lockdown rules translated into indecipherable slang ,fake
this is a critical moment for countries and we ask leaders to put targeted measures in place that we know can suppress the spread and ensure that health systems and workers are protected drtedros covid19,real
worlds first covid19 vaccine in russia given to putin s daughter russian vaccine,fake
second wave of ppe shortage is here  ,real
 icmrdelhi has reached a new benchmark of daily covid 19 testing  we tested more than 3 2 lakh samples with support from all our partner labs across the country  for more details visit   icmrfightscovid19 india fights covid19 corona updates in india covid19 ,real
says gov  tony evers is  pushing firearm confiscation orders ,fake
several social media users claimed that there was a massive crowd at bangalore s kr market on the occasion of varamahalaxmi flouting social distancing norms  this claim is misleading  a 2019 video is being passed off as a recent one  covid19 bangalore ,fake
video shows dean of kasturba hospital telling gargling with salt water kills coronavirus ,fake
president trump s facemask speaks out  donald trump coronavirus covid19 facemasks,fake
a message claims that ingredients in coffee can cure covid 19 and that the deceased whistleblower li wenliang found its cure,fake
 vinlew kia ora vincent sorry you re having issues with the app  please call the ministry of health team on 0800 800 606 or email your query and or feedback about the app to tracingapp feedback health govt nz ,real
if mississippi continues to stay at home hospitals should not become overloaded  however if distancing is relaxed there is a potential for over 29k hospitalizations   overwhelming the system by may 5th  learn more at  ,real
a video shows healthcare workers celebrating in a hospital  the caption says it was filmed in messejana hospital in fortaleza brazil after all covid 19 patients were cured and a whole hospital wing was closed ,fake
the water in botafogo s beach in rio de janeiro brazil is clear and clean because of quarantine ,fake
the alternative medicine practitioner s guide to coronavirus ,fake
infectious disease modelling expert professor john edmunds says he does not believe the new covid19 restrictions will be enough adding that he would introduce a two week lockdown and then apply the restrictions in scotland to the rest of the uk for  many months  ,real
kenyan electoral commission  iebc  has hinted at postponing the 2022 general elections ,fake
parents  closing schools is one way to slow the spread of covid19 but   as you know   being home all the time can be hard  find tips to support the health and well being of yourself and your children while you re home together   ,real
rt  covidnewsbymib  india fights corona   icmrdelhi scales up covid 19 testing capacity to 3 lakh tests per day in country  as of now tota ,real
the imported cases both arrived in new zealand from india on august 23  the first is a woman in her 70s and the second case is a man in his 30s  they both tested positive for covid 19 around day 3 of their time in miq at the grand millennium in auckland ,real
 kiwibardy kia ora brandon sorry you ve had a frustrating experience  the development team are working to address compatibility issues  please call the ministry on 0800 800 606 or email your query and or feedback to tracingapp feedback health govt nz,real
according to  as of yesterday evening 73998 have died of covid in the united states  over the previous 24 hours that includes 2265 deaths ,real
summer will kill the coronavirus ,fake
hospitals in the united states get paid  750 for patients who die from the flu  17500 for covid 19 ,fake
people held a  street party  in dublin on 1 may ,fake
we know that this virus can kill  girl boy  but that children tend to have a milder infection and there are very few severe cases and deaths from covid19 among children and adolescents drtedros,real
bill gates is funding a vaccine in adhesive patch form  the vaccine contains a microchip that is going to be used to monitor people via 5g network ,fake
says covid 19 remains in the air for eight hours and that everyone is now required to wear masks  everywhere ,fake
there s no evidence nancy pelosi got insider coronavirus information and made millions  ,fake
 queen elizabeth ii has been diagnosed with coronavirus ,fake
coronavirus  dogs deployed at helsinki airport to sniff out virus ,real
a post says that a 2005 study showed chloroquine was effective against  covid 1  this is wrong  there s no such thing as covid 1 and the drug wasn t given to humans  it looked at primate cells infected with sars   ,fake
some people are more likely than others to become severely ill from covid19 which means that they may require hospitalization intensive care or a ventilator to help them breathe  some severely ill people may die  learn more   ,real
a common question  are coronavirus cases going up because we re testing so many more people  a  certainly not in florida where testing slowed down 3  while new cases grew 88  over the last week  ,real
a popular florida beach has been evacuated after jellyfish test positive for the coronavirus  coronavirus beach,fake
president trump did sign a 5g bill but exposure effects are misleading ,fake
cumulative hospitalizations up to 22303 still largely driven by new york  california is now second in hospitalizations louisiana third ,real
rt  hhsgov  wearing a cloth face covering in public slows the spread of covid19 and shows you care about the health of your community  ma ,real
rt  minhealthnz  no new cases of covid19 to report in new zealand and 550000 registrations of the nz covid tracer app have been recorded ,real
guilt  anger  economic freedom  non bravery  government testing at yale on covid shot messaging ,fake
the combined total of confirmed and probable covid 19 cases is 1497    we now have 1386 people reported as having recovered from covid 19    today there are two people in hospital with covid 19   one each in middlemore and north shore hospitals  neither is in icu ,real
data on current hospitalizations remains iffy  today we saw hospitalization numbers in id and nj drop by  50  which seems unlikely to reflect reality  some states with rising cases have dropping hosp  figures  last week s post is likely still relevant  ,real
one more shocking video of gandhi hospital hyderabad emerges where covid patients sitting on the corridors floor and nobody hospital staff there to check them ,fake
 people defying stay at home order fill arizona beaches ,fake
75 countries which would finance the covid19 vaccines from their own public finance budgets partner with 90 lower income countries that could be supported through voluntary donations  together these countries represent over 60  of the  globe with meridians s population  ,real
coronavirus updates   round pushpin total covid19 cases in india  as on september 22 2020   play button 80 12  cured discharged migrated  4497867   play button 17 54  active cases  975861   play button 1 60  deaths  88935  total covid 19 confirmed cases   cured discharged migrated active cases deaths ,real
 new button  guideline on use of dexamethasone  amp  other corticosteroids advises   check mark button  for oral or intravenous usage in treatment of patients with severe  amp  critical covid19  cross mark  against usage in treatment of non severe cases more  ,real
a stoush has opened up over the victorian government s use or possible lack thereof of adf personnel in managing coronavirus  here are the facts on how many adf personnel are deployed for the pandemic in each state   a us pol vic pol springs t ,fake
ease of the lockdown does not mean that the covid19 outbreak is over  please take responsibility as guidelines are updated to protect yourself  amp  loved ones by   face with medical mask wearing a mask  airplane adherence to guidelines in public spaces  cross mark avoiding bars clubs gyms cinemas  amp  event centres ,real
mycoplasma pneumonia can be treated with quinolones   the first quinolone discovered was chloroquine   mycoplasma pneumonia is a rare but important cause of transverse myelitis covid19  ,fake
 cryptowalter  there is a provision rs  50 lakhs as insurance under pm garib kalyan package to the family of a frontline healthcare worker who passed away due to covid19  ,real
deaths due to covid have increased in gujarat s rajkot as cases rise  however  the exact number is unclear  city data shows 131 deaths  but crematoriums  amp  burial grounds tell a different story   theprint s  soniyaagrawal21  amp   manishamondal25 report ,fake
roberto gazolla a covid 19 reference hospital in rio de janeiro brazil is empty  photos  prove  there was no one at the areas open to the public like the entrance hall ,fake
in our morning data run  which has not gone live yet  good transparency news from maryland  they are now reporting all negatives  their state grade is about to go from d gt a ,real
 posts on social media claim that people who have been vaccinated against the flu in the last 10 years will test positive for covid 19 ,fake
india fights corona  nearly 59  of the new recoveries came from these five states  27 states uts are reporting recovery rate more than 70   stay safe india will win ,real
there are 57 people linked to the community cluster who remain in the auckland quarantine facility which includes 27 people who have tested positive for covid 19 and their household contacts ,real
as at 09 30 pm 7th april there are 254 confirmed cases 44 discharged 6 deaths for more info   lagos  130 fct  50 osun  20 oyo  11 edo  11 bauchi  6 akwa ibom  5 kaduna  5 ogun  4 enugu  2 ekiti  2 rivers 2 benue  1 ondo  1 kwara  2 delta  1 katsina 1,real
latest update from the  minhealthnz    there are 3 new cases of covid 19 to report in managed isolation facilities in new zealand today  1 in rotorua and 2 in christchurch  there is no community transmission in nz   ,real
252 new cases of covid19 nigeria  plateau 50 enugu 35 rivers 27 lagos 26 fct 18 kaduna 18 ekiti 10 kano 10 taraba 9 anambra 8 edo 8 oyo 8 delta 7 ogun 6 abia 5 bayelsa 5 ebonyi 1 osun 1 52800 confirmed 39964 discharged 1007 deaths ,real
there are two coronavirus cases in bovalino  reggio calabria italy ,fake
our total number of confirmed cases is now 1161    our combined total of confirmed and probable cases is now 1511    the number of recovered cases remains at 1482    there are no additional deaths to report ,real
fennel tea can cure the coronavirus ,fake
of the 2159 people who left managed isolation facilities between june 9   16 1253 people have been contacted and have tested negative for covid 19  800 of those were tested before leaving managed isolation and the remaining 453 were tested after departure from the facility ,real
india fights corona new recoveries in india have exceeded the new cases for 5 consecutive days  covid19 ,real
new york continues to have the highest positive tests per capita an indication of both the intensity of testing there and the severity of the outbreak  here s the top 10  new york washington new jersey louisiana dc michigan illinois vermont colorado rhode island,real
trump   medically we had empty cupboards  the cupboards   i say the cupboards were empty ,fake
runny nose and coughing sputum are not symptoms of covid 19 ,fake
a  face mask exempt card  allows you to cite the ada and not wear a mask ,fake
more than half of us physicians have treated patients with covid 19  only 5  have been infected   ,real
bill gates admited on video that the vaccine against covid 19 changes people s dna forever ,fake
 american scientists have developed a cure for the coronavirus ,fake
yesterday i watched a live stream of us pole competitions  and it was made abundantly clear that pole athletes are not doing well during covid  i ve heard enough depressing music to last me for months ,fake
it includes state of emergency declarations quarantine measures disease surveillance legal measures relating to mask wearing physical distancing and access to medication and vaccines drtedros covid19 ,real
late breaking progressive news  sugar is bad for you  government surveillance is necessary to keep y   coronavirus,fake
us president donald trump wanted to ruin americans using coronavirus as a weapon  thousands of people are protesting on the streets against that ,fake
coronavirus  common colds  may account for some reported covid 19 cases  phe survey says ,real
 cdelise  benzorn we ll pick that up in our evening update  it ll be under  current  on the main spreadhseet  we tend to update fully a z three times a day  and we record our daily data at 4pm et ,real
 note that some of the variability comes because of our 4pm et commit time  sometimes a state is early or late so their numbers get filed into a different daily bucket ,real
healthcare workers are scared because too many people won t wear a mask  ,real
all elective or non emergency surgeries are banned to prioritize coronavirus treatments and prevent the spread ,fake
video of dead bodies being piled up in italy due to covid 19 ,fake
suicidal man seeks covid 19 infection ,fake
 we ve ramped up testing hugely in this country  health minister edward argar says the prime minister is setting  ambitious but achievable targets  when it comes to increasing coronavirus testing capacity  kay burley   ,real
vte risk is   50  lower in patients with ra taking tnf inhibitors in new research   eular2020,real
our discharges today include 2967 community recoveries in fct and 103 community recoveries in kwara state managed in line with new case management guidelines  a breakdown of cases by state can be found via  take responsibility ,real
if you only read three stories   red circle  pm does not want lockdown but says second wave  is coming    red circle  uk r number between 1 1 and 1 4   red circle  amal clooney quits uk envoy role over plans to break international law  ,real
cabinet secretary reviews 10 states ut with high covid19 case fatality  states urged to proactively limit covid transmission and keep the mortality below 1    pmoindia  drharshvardhan  ashwinikchoubey  pib india  ddnewslive  airnewsalerts  mygovindia,real
leaked report says there are  too many humans  on the planet  global warming coronavirus conspiracy,fake
an article says that britain has  pulled out  of a 5g contract with chinese company huawei because test kits were found to be contaminated with coronavirus ,fake
the indian health department has issued a notification advising people to drink only 50 80 ml of water avoid spicy food and not travel in crowded spaces till march 2020 ,fake
why mouthwash could help fight covid along with bad breath  ,real
although the number of daily deaths remains relatively stable there is a lot to be concerned about  all countries are at risk of the virus but not all countries have been affected in the same way drtedros covid19,real
covid 19 update there are no new cases of covid 19 to report in new zealand today  it has been 100 days since the last case of covid 19 was acquired locally from an unknown source  we have 23 active cases of covid 19 in managed isolation facilities ,real
bjp leader shares fake ads of japanese novelist saying covid 19 is man made,fake
58  of coronavirus deaths in scotland are from care facilities ,fake
the liquid squeezed from or a tea brewed of siam weed or chromolaena odorata is the cure for the novel coronavirus according to nigerian prophetess dupe oluwaniyi ,fake
former rep  trey gowdy wrote essay past on social media claiming the covid 19 pandemic was planned to help democrats in the 2020 election ,fake
wash hands often to help slow the spread of covid19  keep key times in mind for when to wash your hands  amp  remember to practice other protective measures like social distancing and wearing a face cover   ,real
the mortality rate for the flu is  right around  that of the new coronavirus   it s right around 2 ,fake
nineteen new cases of covid19 have been reported as follows  14 in lagos 2 in fct 1 in kano 1 in akwa ibom 1 in edo as at 09 20 pm 14th april there are 362 confirmed cases of covid19 reported in nigeria  99 have been discharged with 11 deaths take responsibility ,real
the substance  chlorine dioxide  is a powerful bleach used in textile manufacturing  the grenons market it as  miracle mineral solution  or mms which they say when drunk as a dilution can cure almost all illnesses including covid  cancer  hiv aids as well as the condition autism  ,fake
at least 25000 residents and 400 staff members have died in the pandemic according to new federal estimates  ,real
india fights corona the total number of covid19 recoveries on a weekly basis has increased from 153118 during the third week of july to 484068 in the first week of september 2020  ,real
one person can break a chain of covid19 infection  help protect your family and community  stay home  wash your hands  when out for essential trips wear a cloth face covering and keep at least 6 feet of distance between yourself and others   ,real
official figures show 18371 new people tested positive for covid 19 in england between 3 september and 9 september a substantial increase of 167  compared with the end of august ,real
on 26 february  trump stated   covid is a flu  this is like a flu ,fake
 carlhan30554840 kia ora carl thanks for your feedback  the new cases are separated into two categories   recent travel and in the community  the total number of confirmed cases is the first number on the graphic which is currently 61 ,real
 according to the cdc  so far this year  florida has had 1 762 deaths from covid 19 and 5 185 from pneumonia  average pneumonia deaths in florida from 2013 2018 for the same time period are 918 ,fake
 rosnovsky  cdc  alexismadrigal it s a tough call as these numbers have become highly political but our preference would be that states report them both  states are where public health happens so impt to see what they report alexismadrigal,real
soon ka cross 50k mark   spike in covid19 cases means silicon city is turning out to be  super spreader   still 35000 samples pile up awaiting results   33yr old pregnant has been waited 6 days for her covid 19 results   should pay  4000 test in bangalore means where 2  ,fake
138 new cases of covid19 nigeria  plateau 55 lagos 15 ebonyi 11 oyo 11 abia 8 anambra 7 fct 7 rivers 7 kaduna 6 ondo 5 kwara 3 bauchi 1 benue 1 edo 1 53865 confirmed 41513 discharged 1013 deaths ,real
you cannot catch covid 19 person to person or touching surfaces ,fake
the leakage of different harmful viruses from the laboratories  cannot be just accidental  there s more to it  world must be saved from china  we ve already lost an entire year due to covid 19  which originated from china   who  narendramodi  pmoindia ,fake
ivermectin cures covid 19 ,fake
india fights corona india has substantively ramped up its testing infrastructure from one lab in jan 2020 to 1370 labs today  expanded diagnostic lab network  amp  facilitation for easy testing across the country has given a boost and india has done more than 2 crore tests presently  ,real
 is that chinese film  parasite  about coronavirus  asks taxi driver  movies virus taxi coronavirus parasite,fake
according to the  plandemic  documentary  the actual pandemic comes from the sars outbreak ,fake
cases are moving up not only because of the known hotspot states but because the surge is broadening  nine states reported over 2000 new cases today  ,real
authorities should implement temperature tests to travelers from china ,fake
241 new cases of covid19  lagos 142 oyo 15 fct 13 kano 12 edo 11 delta 10 kaduna  9 rivers 9 borno 8 jigawa 4 gombe 3 plateau 3 osun 1 bauchi 1 10819 cases of covid19 nigeria discharged  3239 deaths  314 take responsibility ,real
when a police officer enforced lockdown orders on people in a temple in india he was beaten up there ,fake
are kids  17 times  more likely to suffer from the flu than covid 19  it s possible but not conclusive   danforestnc incorrectly uses  ill effects  rather than deaths  his claim downplays the risks covid 19 by focusing only on death    politifactnc,fake
evander holyfield arrested for not wearing mask  claims innocence due to missing ear  coronavirus ears,fake
h1n1 holds lessons for an efficient delivery of covid vaccination  ,real
clinical senior lecturer at king s college london dr claire steves says  two symptoms of covid19 that are not on the core list are headaches and fatigue  and discusses what symptoms warrant a test for coronavirus  backhand index pointing down  latest   ,real
states reported nearly 27k cases today the most in more than 40 days  may 8  the positive rate was the highest since late may  ,real
